customer_id,ltv_score,churn_risk
cust_0000,356.58,0.82
cust_0001,527.21,0.91
cust_0002,2095.48,0.66
cust_0003,627.73,0.17
cust_0004,4515.87,0.34
cust_0005,286.95,0.39
cust_0006,2727.39,0.07
cust_0007,1727.77,0.46
cust_0008,4275.22,0.57
cust_0009,882.35,0.34
cust_0010,1752.36,0.19
cust_0011,1735.6,0.09
cust_0012,1301.3,0.63
cust_0013,108.19,0.01
cust_0014,2237.75,0.35
cust_0015,529.31,0.23
cust_0016,3028.24,0.53
cust_0017,442.4,0.72
cust_0018,1645.75,0.91
cust_0019,2296.78,0.64
cust_0020,4536.45,0.99
cust_0021,554.55,0.96
cust_0022,796.66,0.63
cust_0023,3971.35,0.23
cust_0024,204.06,0.48
cust_0025,4564.64,0.18
cust_0026,2909.7,0.99
cust_0027,1400.08,0.44
cust_0028,4205.4,0.75
cust_0029,3867.09,0.04
cust_0030,1782.96,0.13
cust_0031,4027.33,0.19
cust_0032,1113.63,0.26
cust_0033,3083.62,0.35
cust_0034,2682.67,0.27
cust_0035,4065.76,0.43
cust_0036,1644.79,0.42
cust_0037,2051.37,0.11
cust_0038,3869.47,0.06
cust_0039,2612.49,0.36
cust_0040,3455.7,0.09
cust_0041,3227.93,0.43
cust_0042,3366.62,0.01
cust_0043,4461.48,0.54
cust_0044,2482.07,0.07
cust_0045,3375.5,0.69
cust_0046,1935.16,0.4
cust_0047,256.02,0.99
cust_0048,3795.45,0.26
cust_0049,989.18,0.47
