id,customer_id,order_ts,amount,tax
ord_0000,cust_0000,2025-01-01 00:00:00,323.32,25.87
ord_0001,,2025-01-01 01:00:00,22.26,1.78
ord_0002,cust_0002,2025-01-01 02:00:00,144.76,11.58
ord_0003,cust_0003,2025-01-01 03:00:00,119.37,9.55
ord_0004,cust_0004,2025-01-01 04:00:00,370.87,29.67
ord_0005,cust_0005,2025-01-01 05:00:00,341.58,27.33
ord_0006,cust_0006,2025-01-01 06:00:00,447.17,35.77
ord_0007,cust_0007,2025-01-01 07:00:00,52.6,4.21
ord_0008,cust_0008,2025-01-01 08:00:00,216.74,17.34
ord_0009,cust_0009,2025-01-01 09:00:00,24.6,1.97
ord_0010,cust_0010,2025-01-01 10:00:00,117.13,9.37
ord_0011,cust_0011,2025-01-01 11:00:00,257.62,20.61
ord_0012,cust_0012,2025-01-01 12:00:00,23.0,1.84
ord_0013,cust_0013,2025-01-01 13:00:00,107.43,8.59
ord_0014,,2025-01-01 14:00:00,328.44,26.28
ord_0015,cust_0015,2025-01-01 15:00:00,277.02,22.16
ord_0016,cust_0016,2025-01-01 16:00:00,118.02,9.44
ord_0017,cust_0017,2025-01-01 17:00:00,298.74,23.9
ord_0018,cust_0018,2025-01-01 18:00:00,406.62,32.53
ord_0019,cust_0019,2025-01-01 19:00:00,13.18,1.05
ord_0020,cust_0020,2025-01-01 20:00:00,404.85,32.39
ord_0021,cust_0021,2025-01-01 21:00:00,352.09,28.17
ord_0022,cust_0022,2025-01-01 22:00:00,176.72,14.14
ord_0023,cust_0023,2025-01-01 23:00:00,86.18,6.89
ord_0024,cust_0024,2025-01-02 00:00:00,479.03,38.32
ord_0025,cust_0025,2025-01-02 01:00:00,174.93,13.99
ord_0026,cust_0026,2025-01-02 02:00:00,55.45,4.44
ord_0027,cust_0027,2025-01-02 03:00:00,57.39,4.59
ord_0028,cust_0028,2025-01-02 04:00:00,425.27,34.02
ord_0029,cust_0029,2025-01-02 05:00:00,305.83,24.47
ord_0030,cust_0030,2025-01-02 06:00:00,405.49,32.44
ord_0031,cust_0031,2025-01-02 07:00:00,367.57,29.41
ord_0032,cust_0032,2025-01-02 08:00:00,272.75,21.82
ord_0033,cust_0033,2025-01-02 09:00:00,486.83,38.95
ord_0034,,2025-01-02 10:00:00,195.48,15.64
ord_0035,cust_0035,2025-01-02 11:00:00,280.5,22.44
ord_0036,cust_0036,2025-01-02 12:00:00,416.41,33.31
ord_0037,cust_0037,2025-01-02 13:00:00,313.07,25.05
ord_0038,cust_0038,2025-01-02 14:00:00,432.24,34.58
ord_0039,cust_0039,2025-01-02 15:00:00,292.9,23.43
ord_0040,cust_0040,2025-01-02 16:00:00,355.24,28.42
ord_0041,cust_0041,2025-01-02 17:00:00,32.45,2.6
ord_0042,cust_0042,2025-01-02 18:00:00,121.67,9.73
ord_0043,,2025-01-02 19:00:00,151.8,12.14
ord_0044,cust_0044,2025-01-02 20:00:00,49.1,3.93
ord_0045,cust_0045,2025-01-02 21:00:00,124.07,9.93
ord_0046,cust_0046,2025-01-02 22:00:00,59.49,4.76
ord_0047,cust_0047,2025-01-02 23:00:00,146.21,11.7
ord_0048,cust_0048,2025-01-03 00:00:00,321.49,25.72
ord_0049,cust_0049,2025-01-03 01:00:00,188.77,15.1
ord_0050,cust_0000,2025-01-03 02:00:00,191.39,15.31
ord_0051,cust_0001,2025-01-03 03:00:00,112.66,9.01
ord_0052,cust_0002,2025-01-03 04:00:00,140.82,11.27
ord_0053,cust_0003,2025-01-03 05:00:00,468.96,37.52
ord_0054,cust_0004,2025-01-03 06:00:00,327.54,26.2
ord_0055,cust_0005,2025-01-03 07:00:00,308.47,24.68
ord_0056,cust_0006,2025-01-03 08:00:00,93.86,7.51
ord_0057,cust_0007,2025-01-03 09:00:00,367.27,29.38
ord_0058,cust_0008,2025-01-03 10:00:00,90.07,7.21
ord_0059,cust_0009,2025-01-03 11:00:00,195.93,15.67
ord_0060,cust_0010,2025-01-03 12:00:00,494.87,39.59
ord_0061,cust_0011,2025-01-03 13:00:00,323.6,25.89
ord_0062,cust_0012,2025-01-03 14:00:00,282.91,22.63
ord_0063,cust_0013,2025-01-03 15:00:00,345.46,27.64
ord_0064,cust_0014,2025-01-03 16:00:00,423.0,33.84
ord_0065,cust_0015,2025-01-03 17:00:00,390.24,31.22
ord_0066,cust_0016,2025-01-03 18:00:00,122.23,9.78
ord_0067,cust_0017,2025-01-03 19:00:00,25.73,2.06
ord_0068,,2025-01-03 20:00:00,164.57,13.17
