id,customer_id,amount,order_ts,cleaned_amount
ord_0000,cust_0000,323.32,2025-01-01 00:00:00,323.32
ord_0001,,22.26,2025-01-01 01:00:00,22.26
ord_0002,cust_0002,144.76,2025-01-01 02:00:00,144.76
ord_0003,cust_0003,119.37,2025-01-01 03:00:00,119.37
ord_0004,cust_0004,370.87,2025-01-01 04:00:00,370.87
ord_0005,cust_0005,341.58,2025-01-01 05:00:00,341.58
ord_0006,cust_0006,447.17,2025-01-01 06:00:00,447.17
ord_0007,cust_0007,52.6,2025-01-01 07:00:00,52.6
ord_0008,cust_0008,216.74,2025-01-01 08:00:00,216.74
ord_0009,cust_0009,24.6,2025-01-01 09:00:00,24.6
ord_0010,cust_0010,117.13,2025-01-01 10:00:00,117.13
ord_0011,cust_0011,257.62,2025-01-01 11:00:00,257.62
ord_0012,cust_0012,23.0,2025-01-01 12:00:00,23.0
ord_0013,cust_0013,107.43,2025-01-01 13:00:00,107.43
ord_0014,,328.44,2025-01-01 14:00:00,328.44
ord_0015,cust_0015,277.02,2025-01-01 15:00:00,277.02
ord_0016,cust_0016,118.02,2025-01-01 16:00:00,118.02
ord_0017,cust_0017,298.74,2025-01-01 17:00:00,298.74
ord_0018,cust_0018,406.62,2025-01-01 18:00:00,406.62
ord_0019,cust_0019,13.18,2025-01-01 19:00:00,13.18
ord_0020,cust_0020,404.85,2025-01-01 20:00:00,404.85
ord_0021,cust_0021,352.09,2025-01-01 21:00:00,352.09
ord_0022,cust_0022,176.72,2025-01-01 22:00:00,176.72
ord_0023,cust_0023,86.18,2025-01-01 23:00:00,86.18
ord_0024,cust_0024,479.03,2025-01-02 00:00:00,479.03
ord_0025,cust_0025,174.93,2025-01-02 01:00:00,174.93
ord_0026,cust_0026,55.45,2025-01-02 02:00:00,55.45
ord_0027,cust_0027,57.39,2025-01-02 03:00:00,57.39
ord_0028,cust_0028,425.27,2025-01-02 04:00:00,425.27
ord_0029,cust_0029,305.83,2025-01-02 05:00:00,305.83
ord_0030,cust_0030,405.49,2025-01-02 06:00:00,405.49
ord_0031,cust_0031,367.57,2025-01-02 07:00:00,367.57
ord_0032,cust_0032,272.75,2025-01-02 08:00:00,272.75
ord_0033,cust_0033,486.83,2025-01-02 09:00:00,486.83
ord_0034,,195.48,2025-01-02 10:00:00,195.48
ord_0035,cust_0035,280.5,2025-01-02 11:00:00,280.5
